id|kabupaten|provinsi|prov|pop|npop|positif|positif_sembuh|positif_md|pdp_md|odp_md|md|odp|pdp|pr_positif|pr_positif_sembuh|pr_positif_md|pr_pdp_md|pr_md|positif_rs|pdp_proses|pr_npop|p_sembuh|p_md|rs|p_rs|tgl|crawled_at
6106|KETAPANG|KALIMANTAN BARAT|Kalbar|521412.0|49|49|0|0|0.0|0.0|0|0|20|9.4|0.0|0.0|0.0|0.0|49|0.0|9.4|0.0|0.0|49|100.0|2020-07-17 23:59:00.000000|2020-07-17 13:36:51.546273
6202|KOTAWARINGIN TIMUR|KALIMANTAN TENGAH|Kalteng|476030.0|48|48|34|4|0.0|0.0|4|0|0|10.08|7.14|0.84|0.0|0.84|10|0.0|10.08|70.83|8.33|10|20.83|2020-07-16 09:41:00.000000|2020-07-17 13:36:51.546273
8207|PULAU MOROTAI|MALUKU UTARA|MalukuUtara|68973.0|48|48|0|0|0.0|0.0|0|44|0|69.59|0.0|0.0|0.0|0.0|48|0.0|69.59|0.0|0.0|48|100.0|2020-07-13 19:45:00.000000|2020-07-17 13:36:51.546273
1209|SIMALUNGUN|SUMATERA UTARA|Sumut|871679.0|57|47|21|2|10.0|0.0|12|45|36|5.39|2.41|0.23|1.15|1.38|24|25.0|6.54|36.84|21.05|24|42.11|2020-06-27 08:00:00.000000|2020-07-17 13:36:51.546273
7604|MAMUJU|SULAWESI BARAT|Sulbar|300319.0|50|47|16|1|3.0|0.0|4|89|21|15.65|5.33|0.33|1.0|1.33|30|9.0|16.65|32.0|8.0|30|60.0|2020-07-15 18:03:00.000000|2020-07-17 13:36:51.546273
3329|BREBES|JAWA TENGAH|Jateng|1815084.0|46|46|33|0|0.0|0.0|0|0|11|2.53|1.82|0.0|0.0|0.0|13|11.0|2.53|71.74|0.0|13|28.26|2020-07-17 13:11:00.000000|2020-07-17 13:36:51.546273
7504|BONE BOLANGO|GORONTALO|Gorontalo|163101.0|47|46|32|2|1.0|0.0|3|154|79|28.2|19.62|1.23|0.61|1.84|12|21.0|28.82|68.09|6.38|12|25.53|2020-07-16 19:00:00.000000|2020-07-17 13:36:51.546273
5205|DOMPU|NUSA TENGGARA BARAT|NTB|255569.0|44|44|43|1|0.0|0.0|1|125|52|17.22|16.83|0.39|0.0|0.39|0|0.0|17.22|97.73|2.27|0|0.0|2020-07-16 22:50:00.000000|2020-07-17 13:36:51.546273
6504|NUNUKAN|KALIMANTAN UTARA|Kaltara|218513.0|44|44|43|0|0.0|0.0|0|21|1|20.14|19.68|0.0|0.0|0.0|1|0.0|20.14|97.73|0.0|1|2.27|2020-07-16 21:00:00.000000|2020-07-17 13:36:51.546273
7271|KOTA PALU|SULAWESI TENGAH|Sulteng|397029.0|44|44|40|3|0.0|0.0|3|4|1|11.08|10.07|0.76|0.0|0.76|1|0.0|11.08|90.91|6.82|1|2.27|2020-07-16 06:07:00.000000|2020-07-17 13:36:51.546273
1672|KOTA PRABUMULIH|SUMATERA SELATAN|Sumsel|188931.0|61|44|33|4|17.0|0.0|21|230|89|23.29|17.47|2.12|9.0|11.12|7|50.0|32.29|54.1|34.43|7|11.48|2020-07-16 21:00:00.000000|2020-07-17 13:36:51.546273
7602|POLEWALI MANDAR|SULAWESI BARAT|Sulbar|448485.0|46|44|32|1|2.0|0.0|3|468|62|9.81|7.14|0.22|0.45|0.67|11|10.0|10.26|69.57|6.52|11|23.91|2020-07-15 18:03:00.000000|2020-07-17 13:36:51.546273
3214|PURWAKARTA|JAWA BARAT|Jabar|971888.0|54|44|29|1|10.0|0.0|11|0|0|4.53|2.98|0.1|1.03|1.13|14|9.0|5.56|53.7|20.37|14|25.93|2020-07-17 08:34:00.000000|2020-07-17 13:36:51.546273
1108|ACEH BESAR|ACEH|Aceh|433532.0|44|44|18|3|0.0|0.0|3|184|24|10.15|4.15|0.69|0.0|0.69|23|0.0|10.15|40.91|6.82|23|52.27|2020-07-16 15:00:00.000000|2020-07-17 13:36:51.546273
1276|KOTA BINJAI|SUMATERA UTARA|Sumut|279303.0|53|44|17|4|9.0|0.0|13|0|0|15.75|6.09|1.43|3.22|4.65|23|0.0|18.98|32.08|24.53|23|43.4|2020-07-17 12:49:00.000000|2020-07-17 13:36:51.546273
6502|BULUNGAN|KALIMANTAN UTARA|Kaltara|145078.0|43|43|39|2|0.0|0.0|2|0|1|29.64|26.88|1.38|0.0|1.38|2|0.0|29.64|90.7|4.65|2|4.65|2020-07-16 21:00:00.000000|2020-07-17 13:36:51.546273
3202|SUKABUMI|JAWA BARAT|Jabar|2470220.0|57|43|28|0|14.0|0.0|14|0|0|1.74|1.13|0.0|0.57|0.57|15|7.0|2.31|49.12|24.56|15|26.32|2020-07-17 08:34:00.000000|2020-07-17 13:36:51.546273
6112|KUBU RAYA|KALIMANTAN BARAT|Kalbar|587611.0|43|43|0|0|0.0|0.0|0|0|86|7.32|0.0|0.0|0.0|0.0|43|0.0|7.32|0.0|0.0|43|100.0|2020-07-17 23:59:00.000000|2020-07-17 13:36:51.546273
3471|KOTA YOGYAKARTA|DAERAH ISTIMEWA YOGYAKARTA|DIY|435935.0|46|41|36|2|5.0|0.0|7|908|235|9.41|8.26|0.46|1.15|1.61|3|9.0|10.55|78.26|15.22|3|6.52|2020-07-16 17:00:00.000000|2020-07-17 13:36:51.546273
